00121131-n	gla:gloss	ullachadh gus losgadh-shligean a chuimseachadh ri targaid	DS
00122096-n	gla:lemma	losgadh a-mach	DS
00122096-n	gla:gloss	sabaid gu bàs le gunnaichean beaga	DS
00124500-n	gla:lemma	goilfeadh	DS
00124500-n	gla:gloss	a' cluich golf	DS
00125010-n	gla:lemma	dìcheall	DS
00125010-n	gla:gloss	an oidhirp as fheàrr a nì thu	DS
00125010-n	gla:example	rinn mi mo dhìcheall ach cha do rinn mi an gnothach air	DS
00126970-n	gla:lemma	a-mach	DS
00133748-n	gla:lemma	breab	EOMW
00133748-n	gla:gloss	NO_GLOSS	EOMW
00135640-n	gla:lemma	pòg	EOMW
00135640-n	gla:gloss	NO_GLOSS	EOMW
00139088-n	gla:lemma	seiceadh a-steach	DS
00139088-n	gla:gloss	gad nochdadh fhèin aig, can, port-adhair no taigh-òsta	DS
00139225-n	gla:lemma	casg	EOMW
00139225-n	gla:gloss	NO_GLOSS	EOMW
00141891-n	gla:lemma	beum	EOMW
00141891-n	gla:gloss	NO_GLOSS	EOMW
00141891-n	gla:lemma	bualadh	EOMW
00141891-n	gla:gloss	NO_GLOSS	EOMW
00141891-n	gla:lemma	buille	EOMW
00141891-n	gla:gloss	NO_GLOSS	EOMW
00149041-n	gla:lemma	aithneachadh	EOMW
00149041-n	gla:gloss	NO_GLOSS	EOMW
00149361-n	gla:lemma	meur-lorgaireachd	DS
00149361-n	gla:gloss	modh gus làrach meòir cuideigin a ghabhail air adhbharan fèin-aithne	DS
00153832-n	gla:lemma	ceannsachadh	EOMW
00153832-n	gla:gloss	NO_GLOSS	EOMW
00155816-n	gla:lemma	suainealas	EOMW
00155816-n	gla:gloss	NO_GLOSS	EOMW
00158063-n	gla:lemma	roghainn	DS
00158063-n	gla:gloss	a' taghadh rudeigin	DS
00158063-n	gla:example	roghainn MhicIlip - gabh no fàg	DS
00158063-n	gla:lemma	taghadh	EOMW
00158063-n	gla:gloss	a' taghadh rudeigin	DS
